Title and feature,Price (fcfa),Marque,Delivery price,Rating,Delivery to,Picture,Link
Invens K2 – Mémoire 8 Go – RAM 1 Go – Photo 5 Mpx – Ecran 5.5″ – 4G LTE _ Vert,33900,Invens,550 FCFA,3.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/32/31006/1.jpg?3393,https://www.jumia.sn/invens-k2-memoire-8-go-ram-1-go-photo-5-mpx-ecran-5.5-4g-lte-vert-6001323.html
Invens S1-Ecran6.26"-RAM3Go-ROM32Go-Caméra avant:5Mpx-Batterie4000mAh,49900,Invens,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/37/81614/1.jpg?1107,https://www.jumia.sn/invens-s1-ecran6.26-ram3go-rom32go-camera-avant5mpx-batterie4000mah-4161873.html
Mione MiOneQ11-Ecran5.5"-RAM2Go-ROM8Go-Caméra5/ 2Mpx - Batterie 2800mAh - Bleu Purple,24900,Mione,550 FCFA,3/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/24/56909/1.jpg?9233,https://www.jumia.sn/mione-mioneq11-ecran5.5-ram2go-rom8go-camera5-2mpx-batterie-2800mah-bleu-purple-9096542.html
Itel A56 - 5.99" - Dual SIM - RAM 1Go  ROM 16Go  - 4000 mAh - Empreinte Digitale - Noir,38000,Itel,550 FCFA,4.3/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/47/87305/1.jpg?1006,https://www.jumia.sn/itel-a56-5.99-dual-sim-ram-1go-rom-16go-4000-mah-empreinte-digitale-noir-5037874.html
Tecno Spark 5 - 6.6" - ROM 32Go - RAM 2Go - Caméra arrière 13MP Camera Front 8MP - 5000mAh Orange,69900,Tecno,550 FCFA,4.3/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/15/47795/1.jpg?1526,https://www.jumia.sn/tecno-spark-5-6.6-rom-32go-ram-2go-camera-arriere-13mp-camera-front-8mp-5000mah-orange-5977451.html
Invens S1 - 4G - Ecran 6.26" - Android 10.0 - RAM 3Go - ROM 32Go - face unlock - Empreinte digitale - Caméra avant 5 MP Arriere 13 MP - Gris,49900,Invens,550 FCFA,3.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/10/66335/1.jpg?0647,https://www.jumia.sn/invens-s1-4g-ecran-6.26-android-10.0-ram-3go-rom-32go-face-unlock-empreinte-digitale-camera-avant-5-mp-arriere-13-mp-gris-5336601.html
Invens Max 9 - 6.1" -RAM 2Go - ROM 16Go -Caméra 8MP - 3500mAh -Bleu+Ecouteurs Bluetooth,36900,Invens,550 FCFA,3.6/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/89381/1.jpg?4942,https://www.jumia.sn/invens-max-9-6.1-ram-2go-rom-16go-camera-8mp-3500mah-bleuecouteurs-bluetooth-1839815.html
Invens Max 9 - 6.1" -RAM 2Go - ROM 16Go -Caméra 8MP - 3500mAh -Noir+Ecouteurs Bluetooth,41900,Invens,550 FCFA,4.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/64963/1.jpg?4565,https://www.jumia.sn/max-9-6.1-dual-sim-rom-16go-ram-2go-camera-arriere-8mpfrond-5mp-noir-ecouteurs-bluetooth-invens-mpg27205.html
Samsung Galaxy A12 – Ecran 6.5″  - ROM 64GB - RAM 4GB - Caméra 48MP -  Rouge,88900,Samsung,550 FCFA,4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/43606/1.jpg?6468,https://www.jumia.sn/samsung-galaxy-a12-ecran-6.5-rom-64gb-ram-4gb-camera-48mp-rouge-6063410.html
Huawei Y7 Prime(2018) – Ecran 5.99″ – ROM 64GB – RAM 4GB – Caméra 13/8MP – Noir,81400,Huawei,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/69/20288/1.jpg?8826,https://www.jumia.sn/huawei-y7-prime2018-ecran-5.99-rom-64gb-ram-4gb-camera-138mp-noir-8820296.html
Tecno Pop 5 – Écran 6.0″ – ROM 16GB – RAM 1GB – Caméra 8/5MP  – Noir,73000,Tecno,550 FCFA,5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/10/31176/1.jpg?7056,https://www.jumia.sn/tecno-pop-5-ecran-6.0-rom-16gb-ram-1gb-camera-85mp-noir-6711301.html
AIRPHA AIRPHAHalo4Pro–6.6Pouces–DualSim–4GoRam – 64Go Rom – 4500 mAh - Noir,69900,AIRPHA,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/88/80488/1.jpg?4152,https://www.jumia.sn/airpha-airphahalo4pro6.6poucesdualsim4goram-64go-rom-4500-mah-noir-8840888.html
Invens K1 - 5.5"- RAM 2Go - ROM 16Go - Caméra 8 MP - 4000mAh - Rouge,34900,Invens,550 FCFA,3.8/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/77/18824/1.jpg?0497,https://www.jumia.sn/k1-5.5-pouces-ram-2go-rom-16go-5mp-8-mp-ecouteur-bluetooth-offert-rouge-invens-mpg27192.html
Doogee BL5500 Lite - Ecran 6.19" - RAM 2Go - ROM 16Go - Caméra 13Mpx - Batterie 5500 mAh - Bleu,39900,Doogee,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/93/78749/1.jpg?8257,https://www.jumia.sn/doogee-bl5500-lite-ecran-6.19-ram-2go-rom-16go-camera-13mpx-batterie-5500-mah-bleu-9478739.html
Itel A56-5.99"-DualSIM-RAM1GoROM16Go-4000mAh-EmpreinteDigitale- Bleu,38500,Itel,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/65/67562/1.jpg?0329,https://www.jumia.sn/itel-a56-5.99-dualsim-ram1gorom16go-4000mah-empreintedigitale-bleu-2657656.html
Tecno POVA - Ecran 6,8" - Double SIM - ROM 128GB - RAM 6GB - Camera 13/8Mpx - Violet,98900,Tecno,550 FCFA,3.8/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/99/72206/1.jpg?9358,https://www.jumia.sn/tecno-pova-ecran-68-double-sim-rom-128gb-ram-6gb-camera-138mpx-violet-6022799.html
Calus Note 40 Ultra - Ecran 6.26" - RAM 2Go - ROM 16Go - Bleu,21900,Calus,550 FCFA,5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/60/94488/1.jpg?9752,https://www.jumia.sn/calus-note-40-ultra-ecran-6.26-ram-2go-rom-16go-bleu-8844906.html
Huawei Y9A – Ecran 6.63″ – ROM 128GB – RAM 8GB – Caméra 64/8/2/2/16MP – Rose,167500,Huawei,550 FCFA,4.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/27/37206/1.jpg?4802,https://www.jumia.sn/huawei-y9a-ecran-6.63-rom-128gb-ram-8gb-camera-6482216mp-rose-6027372.html
Tecno Spark 5 Pro- 6.6" - ROM 64Go - RAM 3Go - Caméra arrière 16MP Camera Front 8MP - 5000mAh- Noir,68000,Tecno,550 FCFA,4.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/08/00588/1.jpg?0201,https://www.jumia.sn/tecno-spark-5-pro-6.6-rom-64go-ram-3go-camera-arriere-16mp-camera-front-8mp-5000mah-noir-8850080.html
